tier,leagueId,queue,name,entries,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': '-8dFKbFddk2bDcXhuu_z6RCXF06Mva-AqBcLSPyrdd0WahT82fqQo-aR6w', 'summonerName': 'Pray u', 'leaguePoints': 878, 'rank': 'I', 'wins': 213, 'losses': 162, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",-8dFKbFddk2bDcXhuu_z6RCXF06Mva-AqBcLSPyrdd0WahT82fqQo-aR6w,Pray u,878,I,213,162,False,False,True,True,5BRtIAd6LLlD9kXPzZeCnf1YNAGQgzeznPGjwasRkNve3s5q8d28MOazw8sVspNQR5i0ntMS7seUhg
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'H_RB2RuzMROuVPc6D2GnCUYM8u3nd5sYowJ93FlNhtHSRlw', 'summonerName': 'find ur mom', 'leaguePoints': 996, 'rank': 'I', 'wins': 189, 'losses': 140, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",H_RB2RuzMROuVPc6D2GnCUYM8u3nd5sYowJ93FlNhtHSRlw,find ur mom,996,I,189,140,True,False,False,False,fcldiotfwwuXlDtzJ8WA0KSRgjAzQsRVCc9CDIov1FTeEy64JFlyTNbCt8rZjjazMXcfdlBAzfVLzw
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'xSS41cHGww2iSq-ukbwwtpQKm94biY5LR0bN5VYmCyoypOAl6_6HvKZd0g', 'summonerName': 'meiyaoshidesuo', 'leaguePoints': 924, 'rank': 'I', 'wins': 173, 'losses': 122, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",xSS41cHGww2iSq-ukbwwtpQKm94biY5LR0bN5VYmCyoypOAl6_6HvKZd0g,meiyaoshidesuo,924,I,173,122,False,False,False,False,TgJlUq9rOs3Y50TAwGFNitxDJTaj7ZJHSbQK_O174keP8IR9ncaPuylhcqytFPtXPG5W7rDJXXKQVA
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': '33dNGnHnkfHQRQzAkqUUW58XzxVCmg3uYwuih0XrK6wQjV-_EhtzgffU4A', 'summonerName': '일단 들어가고 봐', 'leaguePoints': 889, 'rank': 'I', 'wins': 205, 'losses': 153, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",33dNGnHnkfHQRQzAkqUUW58XzxVCmg3uYwuih0XrK6wQjV-_EhtzgffU4A,일단 들어가고 봐,889,I,205,153,False,False,True,True,CQOGdZeIKIN-BQQYZWJAFyISgvdWG9nCPgnRsRW_vKQVBUwPlMKV4oPRWyDPRkiKn9O_f8DzN07Ffg
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'H43xz3lOqfaPNlIHanzTCdun4qRtv6eJ_JdxBC1-O0H51zNS', 'summonerName': 'DK Lucid', 'leaguePoints': 1222, 'rank': 'I', 'wins': 181, 'losses': 128, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",H43xz3lOqfaPNlIHanzTCdun4qRtv6eJ_JdxBC1-O0H51zNS,DK Lucid,1222,I,181,128,True,False,False,True,ZmxRoi1M6gXcjF4mBdLv92QFNj1OCqQu8fA4CdN7fAS8bPOj6btlmBIqMy6nOp1WQx0Xhu9fRc64Ag
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'cc9-yV2bdDES-ec_Mi11JOObwgN3ltgQd7UQA8ww26v80K757oT5Z70S-w', 'summonerName': 'realman1v1solo', 'leaguePoints': 862, 'rank': 'I', 'wins': 101, 'losses': 53, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",cc9-yV2bdDES-ec_Mi11JOObwgN3ltgQd7UQA8ww26v80K757oT5Z70S-w,realman1v1solo,862,I,101,53,False,False,True,True,m558HTzKPllTzCWlB5r2v-wjHgdI5AjIzSaCrqREJMrPgz-BNnCWcUCLVN7h3SGVU5qU69-I1ZADqQ
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'vFHbnTvLPBcgm2Q8cad00uNyEXTKR36U2DrtrMG8-vV1nLg', 'summonerName': '문영화', 'leaguePoints': 907, 'rank': 'I', 'wins': 126, 'losses': 73, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",vFHbnTvLPBcgm2Q8cad00uNyEXTKR36U2DrtrMG8-vV1nLg,문영화,907,I,126,73,False,False,False,False,HsSc99fQhc79d1uSxqhCfu6BARHecx24xSL9jt_30IW0QbioQUtIsHHJMRH4B4q1pOMcUvJ-IE9HKg
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'WsT1uKjhQxd314fI36atxyZ0CK07NriPUuOp4vLgzp6Jdm0Al-0gOShWrQ', 'summonerName': '생각이 통달하다', 'leaguePoints': 944, 'rank': 'I', 'wins': 184, 'losses': 132, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",WsT1uKjhQxd314fI36atxyZ0CK07NriPUuOp4vLgzp6Jdm0Al-0gOShWrQ,생각이 통달하다,944,I,184,132,False,False,True,False,9DiLSNoqV0O758sFHIjzatMzcXjyo2zYa_6irUOCKya2ogH3bcpLPU8gGBSwKQ3hD2ZO9h1oTFwtzw
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'ISO3Us5pHjY0D2jPQ8c_m8FiH6oSVZ3i4YzbsXZtV1ofK4u9cLiYt-ENPQ', 'summonerName': 'zcxsdasdas', 'leaguePoints': 1075, 'rank': 'I', 'wins': 176, 'losses': 127, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",ISO3Us5pHjY0D2jPQ8c_m8FiH6oSVZ3i4YzbsXZtV1ofK4u9cLiYt-ENPQ,zcxsdasdas,1075,I,176,127,False,False,False,True,P2qsIT1VSZ3qSv4EUI-yqHj6Uyk1Gb0M-JdhE5Bo50loodHMJxyTyIGiJnsprspWnOAP4BTw9bqmaw
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'w3MVnMDHqUamss5J0cHGwKsZRm36z4ZIsQYp2QPv2WyI_enw7xDGFdEtXA', 'summonerName': '', 'leaguePoints': 1094, 'rank': 'I', 'wins': 157, 'losses': 100, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",w3MVnMDHqUamss5J0cHGwKsZRm36z4ZIsQYp2QPv2WyI_enw7xDGFdEtXA,,1094,I,157,100,False,False,False,False,
